Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ved_gam_truckpsa_stats_003,93.1583871304,87.7699781379,94.6665131429,95.830795,78.0491900117,80.9883894869,96.3111803268,98.4390406593,93.4561476522,87.801998,94.7456431429,95.816124,88.0225543351,74.5462729141,94.6802545948,99.998842606
ved_gam_truckpsa_stats_004,93.1632169623,87.808440069,94.7652154286,95.824974,57.5462716542,0.0268977753101,0.0211879949669,0.0,93.4484637768,87.7327455172,94.6467542857,95.81551,84.6314507031,88.1551387388,94.680231452,99.998842606
ved_gam_truckvolume_scan_stats_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckvolume_scan_stats_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ved_gam_truckvolume_stats_001,93.3641551884,87.682703,94.7087802857,96.168526,8.28652641161,0.12437872473,0.151112098717,0.156985913033,93.409438513,87.699609931,94.7285401429,96.120605,90.7519482942,88.1601952367,94.6783754551,99.998842606
ved_gam_truckvolume_stats_002,93.1167895681,87.6776097241,94.757106,95.80625,56.1763179396,0.106569769341,0.144622745589,0.181473299615,93.4215487681,87.7227557241,94.6316834286,95.77354,90.7525101012,88.1474290991,94.6680849007,99.998842606
xcom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_013_old,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_014_old,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfbs_mgn_440_ft_014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
